IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.206.53,80,80,false,SIN,Asia Pacific,Singapore,48,11.09
8.222.180.86,2053,2053,true,SIN,Asia Pacific,Singapore,97,11.09
8.219.111.147,8880,8880,false,SIN,Asia Pacific,Singapore,20,11.09
8.219.193.22,2053,2053,true,SIN,Asia Pacific,Singapore,81,11.08
8.222.138.164,2095,2095,false,SIN,Asia Pacific,Singapore,29,11.08
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,51,11.08
8.222.254.91,8443,8443,true,SIN,Asia Pacific,Singapore,116,11.08
8.222.253.235,8443,8443,true,SIN,Asia Pacific,Singapore,79,11.07
8.219.140.63,8080,8080,false,SIN,Asia Pacific,Singapore,15,11.07
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,60,11.07
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,63,11.06
47.236.170.54,2087,2087,true,SIN,Asia Pacific,Singapore,94,11.05
8.219.174.213,8443,8443,true,SIN,Asia Pacific,Singapore,149,11.05
8.219.178.101,2087,2087,true,SIN,Asia Pacific,Singapore,162,11.05
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,22,11.05
8.219.93.5,8443,8443,true,SIN,Asia Pacific,Singapore,112,11.04
8.219.188.162,8880,8880,false,SIN,Asia Pacific,Singapore,5,11.04
8.219.167.65,2096,2096,true,SIN,Asia Pacific,Singapore,38,11.04
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,86,11.03
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,21,11.02
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,155,11.01
8.222.253.235,2083,2083,true,SIN,Asia Pacific,Singapore,51,11.01
8.219.84.214,80,80,false,SIN,Asia Pacific,Singapore,9,11.01
8.219.201.245,8080,8080,false,SIN,Asia Pacific,Singapore,11,11.00
8.222.219.34,8880,8880,false,SIN,Asia Pacific,Singapore,16,11.00
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,10.99
8.222.152.165,2096,2096,true,SIN,Asia Pacific,Singapore,41,10.99
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,96,10.99
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,20,10.99
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,59,10.98
8.219.201.8,2086,2086,false,SIN,Asia Pacific,Singapore,8,10.97
8.219.206.180,8080,8080,false,SIN,Asia Pacific,Singapore,41,10.97
47.236.169.164,8080,8080,false,SIN,Asia Pacific,Singapore,22,10.97
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,101,10.96
47.245.118.70,2082,2082,false,SIN,Asia Pacific,Singapore,14,10.96
8.219.215.214,2096,2096,true,SIN,Asia Pacific,Singapore,97,10.96
8.219.107.135,8080,8080,false,SIN,Asia Pacific,Singapore,9,10.95
8.219.210.64,443,443,true,SIN,Asia Pacific,Singapore,97,10.95
8.219.238.145,2082,2082,false,SIN,Asia Pacific,Singapore,9,10.94
